experiment_name,fn,fp,idf1_status,iou_threshold,max_age,min_hits,mota,num_track_rows,num_tracks,tp
sort_age1_hits1_iou0p1,0,0,unavailable,0.10,1,1,0.699725,2425,732,363
sort_age1_hits1_iou0p3,0,0,unavailable,0.30,1,1,0.468320,2425,1232,363
sort_age3_hits1_iou0p3,0,0,unavailable,0.30,3,1,0.462810,2425,1105,363
sort_age5_hits1_iou0p3,0,0,unavailable,0.30,5,1,0.460055,2425,1085,363
sort_age3_hits2_iou0p3,182,0,unavailable,0.30,3,2,0.292011,1320,481,181
sort_age3_hits1_iou0p5,0,0,unavailable,0.50,3,1,0.258953,2425,1607,363
